Pokemon,Nat,teamSprite,homeSprite,HP,Atk,Def,SpA,SpD,Spe,Total,Type_I,Type_II,Species,Height_(m),Weight_(kg),Ability_I,Ability_II,Hidden_Ability,EV_Yield,Egg_Group_I,Egg_Group_II,Gender_(%_Male),Evolve
Beautifly,267,beautifly.png,267.png,60,70,50,100,50,65,395,Bug,Flying,Butterfly Pokémon,xx,28.4,swarm,null,rivalry,3 SpA,bug,null,xx,xx
Cascoon,268,cascoon.png,268.png,50,35,55,25,25,15,205,Bug,xx,Cocoon Pokémon,xx,11.5,shed-skin,null,null,2 Def,bug,null,xx,xx
Dustox,269,dustox.png,269.png,60,50,70,50,90,65,385,Bug,Poison,Poison Moth Pokémon,xx,31.6,shield-dust,null,compound-eyes,3 SpD,bug,null,xx,xx
Lotad,270,lotad.png,270.png,40,30,30,40,50,30,220,Water,Grass,Water Weed Pokémon,xx,2.6,swift-swim,rain-dish,own-tempo,1 SpD,water1,plant,xx,xx
Lombre,271,lombre.png,271.png,60,50,50,60,70,50,340,Water,Grass,Jolly Pokémon,xx,32.5,swift-swim,rain-dish,own-tempo,2 SpD,water1,plant,xx,xx
Ludicolo,272,ludicolo.png,272.png,80,70,70,90,100,70,480,Water,Grass,Carefree Pokémon,xx,55,swift-swim,rain-dish,own-tempo,3 SpD,water1,plant,xx,xx
Seedot,273,seedot.png,273.png,40,40,50,30,30,30,220,Grass,xx,Acorn Pokémon,xx,4,chlorophyll,early-bird,pickpocket,1 Def,ground,plant,xx,xx
Nuzleaf,274,nuzleaf.png,274.png,70,70,40,60,40,60,340,Grass,Dark,Wily Pokémon,xx,28,chlorophyll,early-bird,pickpocket,2 Atk,ground,plant,xx,xx
Shiftry,275,shiftry.png,275.png,90,100,60,90,60,80,480,Grass,Dark,Wicked Pokémon,xx,59.6,chlorophyll,early-bird,pickpocket,3 Atk,ground,plant,xx,xx
Taillow,276,taillow.png,276.png,40,55,30,30,30,85,270,Normal,Flying,Tiny Swallow Pokémon,xx,2.3,guts,null,scrappy,1 Spe,flying,null,xx,xx
Swellow,277,swellow.png,277.png,60,85,60,75,50,125,455,Normal,Flying,Swallow Pokémon,xx,19.8,guts,null,scrappy,2 Spe,flying,null,xx,xx
Wingull,278,wingull.png,278.png,40,30,30,55,30,85,270,Water,Flying,Seagull Pokémon,xx,9.5,keen-eye,hydration,rain-dish,1 Spe,flying,water1,xx,xx
Pelipper,279,pelipper.png,279.png,60,50,100,95,70,65,440,Water,Flying,Water Bird Pokémon,xx,28,keen-eye,drizzle,rain-dish,2 Def,water1,flying,xx,xx
Ralts,280,ralts.png,280.png,28,25,25,45,35,40,198,Psychic,Fairy,Feeling Pokémon,xx,6.6,synchronize,trace,telepathy,1 SpA,humanshape,indeterminate,xx,xx
Kirlia,281,kirlia.png,281.png,38,35,35,65,55,50,278,Psychic,Fairy,Emotion Pokémon,xx,20.2,synchronize,trace,telepathy,2 SpA,humanshape,indeterminate,xx,xx
Gardevoir,282,gardevoir.png,282.png,68,65,65,125,115,80,518,Psychic,Fairy,Embrace Pokémon,xx,48.4,synchronize,trace,telepathy,3 SpA,humanshape,indeterminate,xx,xx
Surskit,283,surskit.png,283.png,40,30,32,50,52,65,269,Bug,Water,Pond Skater Pokémon,xx,1.7,swift-swim,null,rain-dish,1 Spe,water1,bug,xx,xx
Masquerain,284,masquerain.png,284.png,70,60,62,100,82,80,454,Bug,Flying,Eyeball Pokémon,xx,3.6,intimidate,null,unnerve,1 SpA/1 SpD,water1,bug,xx,xx
Shroomish,285,shroomish.png,285.png,60,40,60,40,60,35,295,Grass,xx,Mushroom Pokémon,xx,4.5,effect-spore,poison-heal,quick-feet,1 HP,fairy,plant,xx,xx
Breloom,286,breloom.png,286.png,60,130,80,60,60,70,460,Grass,Fighting,Mushroom Pokémon,xx,39.2,effect-spore,poison-heal,technician,2 Atk,plant,fairy,xx,xx
Slakoth,287,slakoth.png,287.png,60,60,60,35,35,30,280,Normal,xx,Slacker Pokémon,xx,24,truant,null,null,1 HP,ground,null,xx,xx
Vigoroth,288,vigoroth.png,288.png,80,80,80,55,55,90,440,Normal,xx,Wild Monkey Pokémon,xx,46.5,vital-spirit,null,null,2 Spe,ground,null,xx,xx
Slaking,289,slaking.png,289.png,150,160,100,95,65,100,670,Normal,xx,Lazy Pokémon,xx,130.5,truant,null,null,3 HP,ground,null,xx,xx
Nincada,290,nincada.png,290.png,31,45,90,30,30,40,266,Bug,Ground,Trainee Pokémon,xx,5.5,compound-eyes,null,run-away,1 Def,bug,null,xx,xx
Ninjask,291,ninjask.png,291.png,61,90,45,50,50,160,456,Bug,Flying,Ninja Pokémon,xx,12,speed-boost,null,infiltrator,2 Spe,bug,null,xx,xx
Shedinja,292,shedinja.png,292.png,1,90,45,30,30,40,236,Bug,Ghost,Shed Pokémon,xx,1.2,wonder-guard,null,null,2 HP,mineral,null,xx,xx
Whismur,293,whismur.png,293.png,64,51,23,51,23,28,240,Normal,xx,Whisper Pokémon,xx,16.3,soundproof,null,rattled,1 HP,monster,ground,xx,xx
Loudred,294,loudred.png,294.png,84,71,43,71,43,48,360,Normal,xx,Big Voice Pokémon,xx,40.5,soundproof,null,scrappy,2 HP,monster,ground,xx,xx
Exploud,295,exploud.png,295.png,104,91,63,91,73,68,490,Normal,xx,Loud Noise Pokémon,xx,84,soundproof,null,scrappy,3 HP,monster,ground,xx,xx
Makuhita,296,makuhita.png,296.png,72,60,30,20,30,25,237,Fighting,xx,Guts Pokémon,xx,86.4,thick-fat,guts,sheer-force,1 HP,humanshape,null,xx,xx
Hariyama,297,hariyama.png,297.png,144,120,60,40,60,50,474,Fighting,xx,Arm Thrust Pokémon,xx,253.8,thick-fat,guts,sheer-force,2 HP,humanshape,null,xx,xx
Azurill,298,azurill.png,298.png,50,20,40,20,40,20,190,Normal,Fairy,Polka Dot Pokémon,xx,2,thick-fat,huge-power,sap-sipper,1 HP,no-eggs,null,xx,xx
Nosepass,299,nosepass.png,299.png,30,45,135,45,90,30,375,Rock,xx,Compass Pokémon,xx,97,sturdy,magnet-pull,sand-force,1 Def,mineral,null,xx,xx
Skitty,300,skitty.png,300.png,50,45,45,35,35,50,260,Normal,xx,Kitten Pokémon,xx,11,cute-charm,normalize,wonder-skin,1 Spe,ground,fairy,xx,xx
Delcatty,301,delcatty.png,301.png,70,65,65,55,55,90,400,Normal,xx,Prim Pokémon,xx,32.6,cute-charm,normalize,wonder-skin,1 HP/1 Spe,ground,fairy,xx,xx
Sableye,302,sableye.png,302.png,50,75,75,65,65,50,380,Dark,Ghost,Darkness Pokémon,xx,11,keen-eye,stall,prankster,1 Atk/1 Def,humanshape,null,xx,xx
Mawile,303,mawile.png,303.png,50,85,85,55,55,50,380,Steel,Fairy,Deceiver Pokémon,xx,11.5,hyper-cutter,intimidate,sheer-force,1 Atk/1 Def,ground,fairy,xx,xx
Aron,304,aron.png,304.png,50,70,100,40,40,30,330,Steel,Rock,Iron Armor Pokémon,xx,60,sturdy,rock-head,heavy-metal,1 Def,monster,null,xx,xx
Lairon,305,lairon.png,305.png,60,90,140,50,50,40,430,Steel,Rock,Iron Armor Pokémon,xx,120,sturdy,rock-head,heavy-metal,2 Def,monster,null,xx,xx
Aggron,306,aggron.png,306.png,70,110,180,60,60,50,530,Steel,Rock,Iron Armor Pokémon,xx,360,sturdy,rock-head,heavy-metal,3 Def,monster,null,xx,xx
Meditite,307,meditite.png,307.png,30,40,55,40,55,60,280,Fighting,Psychic,Meditate Pokémon,xx,11.2,pure-power,null,telepathy,1 Spe,humanshape,null,xx,xx
Medicham,308,medicham.png,308.png,60,60,75,60,75,80,410,Fighting,Psychic,Meditate Pokémon,xx,31.5,pure-power,null,telepathy,2 Spe,humanshape,null,xx,xx
Electrike,309,electrike.png,309.png,40,45,40,65,40,65,295,Electric,xx,Lightning Pokémon,xx,15.2,static,lightning-rod,minus,1 Spe,ground,null,xx,xx
Manectric,310,manectric.png,310.png,70,75,60,105,60,105,475,Electric,xx,Discharge Pokémon,xx,40.2,static,lightning-rod,minus,2 Spe,ground,null,xx,xx
Plusle,311,plusle.png,311.png,60,50,40,85,75,95,405,Electric,xx,Cheering Pokémon,xx,4.2,plus,null,lightning-rod,1 Spe,fairy,null,xx,xx
Minun,312,minun.png,312.png,60,40,50,75,85,95,405,Electric,xx,Cheering Pokémon,xx,4.2,minus,null,volt-absorb,1 Spe,fairy,null,xx,xx
Volbeat,313,volbeat.png,313.png,65,73,75,47,85,85,430,Bug,xx,Firefly Pokémon,xx,17.7,illuminate,swarm,prankster,1 Spe,bug,humanshape,xx,xx
Illumise,314,illumise.png,314.png,65,47,75,73,85,85,430,Bug,xx,Firefly Pokémon,xx,17.7,oblivious,tinted-lens,prankster,1 Spe,bug,humanshape,xx,xx
Roselia,315,roselia.png,315.png,50,60,45,100,80,65,400,Grass,Poison,Thorn Pokémon,xx,2,natural-cure,poison-point,leaf-guard,2 SpA,fairy,plant,xx,xx
Gulpin,316,gulpin.png,316.png,70,43,53,43,53,40,302,Poison,xx,Stomach Pokémon,xx,10.3,liquid-ooze,sticky-hold,gluttony,1 HP,indeterminate,null,xx,xx
Swalot,317,swalot.png,317.png,100,73,83,73,83,55,467,Poison,xx,Poison Bag Pokémon,xx,80,liquid-ooze,sticky-hold,gluttony,2 HP,indeterminate,null,xx,xx
Carvanha,318,carvanha.png,318.png,45,90,20,65,20,65,305,Water,Dark,Savage Pokémon,xx,20.8,rough-skin,null,speed-boost,1 Atk,water2,null,xx,xx
Sharpedo,319,sharpedo.png,319.png,70,120,40,95,40,95,460,Water,Dark,Brutal Pokémon,xx,88.8,rough-skin,null,speed-boost,2 Atk,water2,null,xx,xx
Wailmer,320,wailmer.png,320.png,130,70,35,70,35,60,400,Water,xx,Ball Whale Pokémon,xx,130,water-veil,oblivious,pressure,1 HP,ground,water2,xx,xx
Wailord,321,wailord.png,321.png,170,90,45,90,45,60,500,Water,xx,Float Whale Pokémon,xx,398,water-veil,oblivious,pressure,2 HP,ground,water2,xx,xx
Numel,322,numel.png,322.png,60,60,40,65,45,35,305,Fire,Ground,Numb Pokémon,xx,24,oblivious,simple,own-tempo,1 SpA,ground,null,xx,xx
Camerupt,323,camerupt.png,323.png,70,100,70,105,75,40,460,Fire,Ground,Eruption Pokémon,xx,220,magma-armor,solid-rock,anger-point,1 Atk/1 SpA,ground,null,xx,xx
Torkoal,324,torkoal.png,324.png,70,85,140,85,70,20,470,Fire,xx,Coal Pokémon,xx,80.4,white-smoke,drought,shell-armor,2 Def,ground,null,xx,xx
Spoink,325,spoink.png,325.png,60,25,35,70,80,60,330,Psychic,xx,Bounce Pokémon,xx,30.6,thick-fat,own-tempo,gluttony,1 SpD,ground,null,xx,xx
Grumpig,326,grumpig.png,326.png,80,45,65,90,110,80,470,Psychic,xx,Manipulate Pokémon,xx,71.5,thick-fat,own-tempo,gluttony,2 SpD,ground,null,xx,xx
Spinda,327,spinda.png,327.png,60,60,60,60,60,60,360,Normal,xx,Spot Panda Pokémon,xx,5,own-tempo,tangled-feet,contrary,1 SpA,ground,humanshape,xx,xx
Trapinch,328,trapinch.png,328.png,45,100,45,45,45,10,290,Ground,xx,Ant Pit Pokémon,xx,15,hyper-cutter,arena-trap,sheer-force,1 Atk,bug,dragon,xx,xx
Vibrava,329,vibrava.png,329.png,50,70,50,50,50,70,340,Ground,Dragon,Vibration Pokémon,xx,15.3,levitate,null,null,1 Atk/1 Spe,bug,dragon,xx,xx
Flygon,330,flygon.png,330.png,80,100,80,80,80,100,520,Ground,Dragon,Mystic Pokémon,xx,82,levitate,null,null,1 Atk/2 Spe,bug,dragon,xx,xx
Cacnea,331,cacnea.png,331.png,50,85,40,85,40,35,335,Grass,xx,Cactus Pokémon,xx,51.3,sand-veil,null,water-absorb,1 SpA,plant,humanshape,xx,xx
Cacturne,332,cacturne.png,332.png,70,115,60,115,60,55,475,Grass,Dark,Scarecrow Pokémon,xx,77.4,sand-veil,null,water-absorb,1 Atk/1 SpA,plant,humanshape,xx,xx
Swablu,333,swablu.png,333.png,45,40,60,40,75,50,310,Normal,Flying,Cotton Bird Pokémon,xx,1.2,natural-cure,null,cloud-nine,1 SpD,flying,dragon,xx,xx
Altaria,334,altaria.png,334.png,75,70,90,70,105,80,490,Dragon,Flying,Humming Pokémon,xx,20.6,natural-cure,null,cloud-nine,2 SpD,flying,dragon,xx,xx
Zangoose,335,zangoose.png,335.png,73,115,60,60,60,90,458,Normal,xx,Cat Ferret Pokémon,xx,40.3,immunity,null,toxic-boost,2 Atk,ground,null,xx,xx
Seviper,336,seviper.png,336.png,73,100,60,100,60,65,458,Poison,xx,Fang Snake Pokémon,xx,52.5,shed-skin,null,infiltrator,1 Atk/1 SpA,ground,dragon,xx,xx
Lunatone,337,lunatone.png,337.png,90,55,65,95,85,70,460,Rock,Psychic,Meteorite Pokémon,xx,168,levitate,null,null,2 SpA,mineral,null,xx,xx
Solrock,338,solrock.png,338.png,90,95,85,55,65,70,460,Rock,Psychic,Meteorite Pokémon,xx,154,levitate,null,null,2 Atk,mineral,null,xx,xx
Barboach,339,barboach.png,339.png,50,48,43,46,41,60,288,Water,Ground,Whiskers Pokémon,xx,1.9,oblivious,anticipation,hydration,1 HP,water2,null,xx,xx
Whiscash,340,whiscash.png,340.png,110,78,73,76,71,60,468,Water,Ground,Whiskers Pokémon,xx,23.6,oblivious,anticipation,hydration,2 HP,water2,null,xx,xx
Corphish,341,corphish.png,341.png,43,80,65,50,35,35,308,Water,xx,Ruffian Pokémon,xx,11.5,hyper-cutter,shell-armor,adaptability,1 Atk,water1,water3,xx,xx
Crawdaunt,342,crawdaunt.png,342.png,63,120,85,90,55,55,468,Water,Dark,Rogue Pokémon,xx,32.8,hyper-cutter,shell-armor,adaptability,2 Atk,water1,water3,xx,xx
Baltoy,343,baltoy.png,343.png,40,40,55,40,70,55,300,Ground,Psychic,Clay Doll Pokémon,xx,21.5,levitate,null,null,1 SpD,mineral,null,xx,xx
Claydol,344,claydol.png,344.png,60,70,105,70,120,75,500,Ground,Psychic,Clay Doll Pokémon,xx,108,levitate,null,null,2 SpD,mineral,null,xx,xx
Lileep,345,lileep.png,345.png,66,41,77,61,87,23,355,Rock,Grass,Sea Lily Pokémon,xx,23.8,suction-cups,null,storm-drain,1 SpD,water3,null,xx,xx
Cradily,346,cradily.png,346.png,86,81,97,81,107,43,495,Rock,Grass,Barnacle Pokémon,xx,60.4,suction-cups,null,storm-drain,2 SpD,water3,null,xx,xx
Anorith,347,anorith.png,347.png,45,95,50,40,50,75,355,Rock,Bug,Old Shrimp Pokémon,xx,12.5,battle-armor,null,swift-swim,1 Atk,water3,null,xx,xx
Armaldo,348,armaldo.png,348.png,75,125,100,70,80,45,495,Rock,Bug,Plate Pokémon,xx,68.2,battle-armor,null,swift-swim,2 Atk,water3,null,xx,xx
Feebas,349,feebas.png,349.png,20,15,20,10,55,80,200,Water,xx,Fish Pokémon,xx,7.4,swift-swim,oblivious,adaptability,1 Spe,water1,dragon,xx,xx
Milotic,350,milotic.png,350.png,95,60,79,100,125,81,540,Water,xx,Tender Pokémon,xx,162,marvel-scale,competitive,cute-charm,2 SpD,water1,dragon,xx,xx
Castform,351,castform.png,351.png,70,70,70,70,70,70,420,Normal,xx,Weather Pokémon,xx,0.8,forecast,null,null,1 HP,fairy,indeterminate,xx,xx
Kecleon,352,kecleon.png,352.png,60,90,70,60,120,40,440,Normal,xx,Color Swap Pokémon,xx,22,color-change,null,protean,1 SpD,ground,null,xx,xx
Shuppet,353,shuppet.png,353.png,44,75,35,63,33,45,295,Ghost,xx,Puppet Pokémon,xx,2.3,insomnia,frisk,cursed-body,1 Atk,indeterminate,null,xx,xx
Banette,354,banette.png,354.png,64,115,65,83,63,65,455,Ghost,xx,Marionette Pokémon,xx,12.5,insomnia,frisk,cursed-body,2 Atk,indeterminate,null,xx,xx
Duskull,355,duskull.png,355.png,20,40,90,30,90,25,295,Ghost,xx,Requiem Pokémon,xx,15,levitate,null,frisk,1 SpD,indeterminate,null,xx,xx
Dusclops,356,dusclops.png,356.png,40,70,130,60,130,25,455,Ghost,xx,Beckon Pokémon,xx,30.6,pressure,null,frisk,1 Def/1 SpD,indeterminate,null,xx,xx
Tropius,357,tropius.png,357.png,99,68,83,72,87,51,460,Grass,Flying,Fruit Pokémon,xx,100,chlorophyll,solar-power,harvest,2 HP,monster,plant,xx,xx
Chimecho,358,chimecho.png,358.png,75,50,80,95,90,65,455,Psychic,xx,Wind Chime Pokémon,xx,1,levitate,null,null,1 SpA/1 SpD,indeterminate,null,xx,xx
Absol,359,absol.png,359.png,65,130,60,75,60,75,465,Dark,xx,Disaster Pokémon,xx,47,pressure,super-luck,justified,2 Atk,ground,null,xx,xx
Wynaut,360,wynaut.png,360.png,95,23,48,23,48,23,260,Psychic,xx,Bright Pokémon,xx,14,shadow-tag,null,telepathy,1 HP,no-eggs,null,xx,xx
Snorunt,361,snorunt.png,361.png,50,50,50,50,50,50,300,Ice,xx,Snow Hat Pokémon,xx,16.8,inner-focus,ice-body,moody,1 HP,fairy,mineral,xx,xx
Glalie,362,glalie.png,362.png,80,80,80,80,80,80,480,Ice,xx,Face Pokémon,xx,256.5,inner-focus,ice-body,moody,2 HP,fairy,mineral,xx,xx
Spheal,363,spheal.png,363.png,70,40,50,55,50,25,290,Ice,Water,Clap Pokémon,xx,39.5,thick-fat,ice-body,oblivious,1 HP,water1,ground,xx,xx
Sealeo,364,sealeo.png,364.png,90,60,70,75,70,45,410,Ice,Water,Ball Roll Pokémon,xx,87.6,thick-fat,ice-body,oblivious,2 HP,water1,ground,xx,xx
Walrein,365,walrein.png,365.png,110,80,90,95,90,65,530,Ice,Water,Ice Break Pokémon,xx,150.6,thick-fat,ice-body,oblivious,3 HP,water1,ground,xx,xx
Clamperl,366,clamperl.png,366.png,35,64,85,74,55,32,345,Water,xx,Bivalve Pokémon,xx,52.5,shell-armor,null,rattled,1 Def,water1,null,xx,xx
Huntail,367,huntail.png,367.png,55,104,105,94,75,52,485,Water,xx,Deep Sea Pokémon,xx,27,swift-swim,null,water-veil,1 Atk/1 Def,water1,null,xx,xx
Gorebyss,368,gorebyss.png,368.png,55,84,105,114,75,52,485,Water,xx,South Sea Pokémon,xx,22.6,swift-swim,null,hydration,2 SpA,water1,null,xx,xx
Relicanth,369,relicanth.png,369.png,100,90,130,45,65,55,485,Water,Rock,Longevity Pokémon,xx,23.4,swift-swim,rock-head,sturdy,1 HP/1 Def,water1,water2,xx,xx
Luvdisc,370,luvdisc.png,370.png,43,30,55,40,65,97,330,Water,xx,Rendezvous Pokémon,xx,8.7,swift-swim,null,hydration,1 Spe,water2,null,xx,xx
Bagon,371,bagon.png,371.png,45,75,60,40,30,50,300,Dragon,xx,Rock Head Pokémon,xx,42.1,rock-head,null,sheer-force,1 Atk,dragon,null,xx,xx
Shelgon,372,shelgon.png,372.png,65,95,100,60,50,50,420,Dragon,xx,Endurance Pokémon,xx,110.5,rock-head,null,overcoat,2 Def,dragon,null,xx,xx
Salamence,373,salamence.png,373.png,95,135,80,110,80,100,600,Dragon,Flying,Dragon Pokémon,xx,102.6,intimidate,null,moxie,3 Atk,dragon,null,xx,xx
Beldum,374,beldum.png,374.png,40,55,80,35,60,30,300,Steel,Psychic,Iron Ball Pokémon,xx,95.2,clear-body,null,light-metal,1 Def,mineral,null,xx,xx
Metang,375,metang.png,375.png,60,75,100,55,80,50,420,Steel,Psychic,Iron Claw Pokémon,xx,202.5,clear-body,null,light-metal,2 Def,mineral,null,xx,xx
Metagross,376,metagross.png,376.png,80,135,130,95,90,70,600,Steel,Psychic,Iron Leg Pokémon,xx,550,clear-body,null,light-metal,3 Def,mineral,null,xx,xx
Regirock,377,regirock.png,377.png,80,100,200,50,100,50,580,Rock,xx,Rock Peak Pokémon,xx,230,clear-body,null,sturdy,3 Def,no-eggs,null,xx,xx
Regice,378,regice.png,378.png,80,50,100,100,200,50,580,Ice,xx,Iceberg Pokémon,xx,175,clear-body,null,ice-body,3 SpD,no-eggs,null,xx,xx
Registeel,379,registeel.png,379.png,80,75,150,75,150,50,580,Steel,xx,Iron Pokémon,xx,205,clear-body,null,light-metal,2 Def/1 SpD,no-eggs,null,xx,xx
Latias,380,latias.png,380.png,80,80,90,110,130,110,600,Dragon,Psychic,Eon Pokémon,xx,40,levitate,null,null,3 SpD,no-eggs,null,xx,xx
Latios,381,latios.png,381.png,80,90,80,130,110,110,600,Dragon,Psychic,Eon Pokémon,xx,60,levitate,null,null,3 SpA,no-eggs,null,xx,xx
Kyogre,382,kyogre.png,382.png,100,100,90,150,140,90,670,Water,xx,Sea Basin Pokémon,xx,352,drizzle,null,null,3 SpA,no-eggs,null,xx,xx
Groudon,383,groudon.png,383.png,100,150,140,100,90,90,670,Ground,xx,Continent Pokémon,xx,950,drought,null,null,3 Atk,no-eggs,null,xx,xx
Rayquaza,384,rayquaza.png,384.png,105,150,90,150,90,95,680,Dragon,Flying,Sky High Pokémon,xx,206.5,air-lock,null,null,2 Atk/1 SpA,no-eggs,null,xx,xx
Jirachi,385,jirachi.png,385.png,100,100,100,100,100,100,600,Steel,Psychic,Wish Pokémon,xx,1.1,serene-grace,null,null,3 HP,no-eggs,null,xx,xx
Deoxys,386,deoxys.png,386.png,50,150,50,150,50,150,600,Psychic,xx,DNA Pokémon,xx,60.8,pressure,null,null,1 Atk/1 SpA/1 Spe,no-eggs,null,xx,xx
Turtwig,387,turtwig.png,387.png,55,68,64,45,55,31,318,Grass,xx,Tiny Leaf Pokémon,xx,10.2,overgrow,null,shell-armor,1 Atk,monster,plant,xx,xx
Grotle,388,grotle.png,388.png,75,89,85,55,65,36,405,Grass,xx,Grove Pokémon,xx,97,overgrow,null,shell-armor,1 Atk/1 Def,monster,plant,xx,xx
Torterra,389,torterra.png,389.png,95,109,105,75,85,56,525,Grass,Ground,Continent Pokémon,xx,310,overgrow,null,shell-armor,2 Atk/1 Def,monster,plant,xx,xx
Chimchar,390,chimchar.png,390.png,44,58,44,58,44,61,309,Fire,xx,Chimp Pokémon,xx,6.2,blaze,null,iron-fist,1 Spe,ground,humanshape,xx,xx
Monferno,391,monferno.png,391.png,64,78,52,78,52,81,405,Fire,Fighting,Playful Pokémon,xx,22,blaze,null,iron-fist,1 Spe/1 SpA,ground,humanshape,xx,xx
Infernape,392,infernape.png,392.png,76,104,71,104,71,108,534,Fire,Fighting,Flame Pokémon,xx,55,blaze,null,iron-fist,1 Atk/1 SpA/1 Spe,humanshape,ground,xx,xx
Piplup,393,piplup.png,393.png,53,51,53,61,56,40,314,Water,xx,Penguin Pokémon,xx,5.2,torrent,null,defiant,1 SpA,water1,ground,xx,xx
Prinplup,394,prinplup.png,394.png,64,66,68,81,76,50,405,Water,xx,Penguin Pokémon,xx,23,torrent,null,defiant,2 SpA,water1,ground,xx,xx
Empoleon,395,empoleon.png,395.png,84,86,88,111,101,60,530,Water,Steel,Emperor Pokémon,xx,84.5,torrent,null,defiant,3 SpA,water1,ground,xx,xx
Starly,396,starly.png,396.png,40,55,30,30,30,60,245,Normal,Flying,Starling Pokémon,xx,2,keen-eye,null,reckless,1 Spe,flying,null,xx,xx
Staravia,397,staravia.png,397.png,55,75,50,40,40,80,340,Normal,Flying,Starling Pokémon,xx,15.5,intimidate,null,reckless,2 Spe,flying,null,xx,xx
Staraptor,398,staraptor.png,398.png,85,120,70,50,60,100,485,Normal,Flying,Predator Pokémon,xx,24.9,intimidate,null,reckless,3 Atk,flying,null,xx,xx
Bidoof,399,bidoof.png,399.png,59,45,40,35,40,31,250,Normal,xx,Plump Mouse Pokémon,xx,20,simple,unaware,moody,1 HP,water1,ground,xx,xx
Bibarel,400,bibarel.png,400.png,79,85,60,55,60,71,410,Normal,Water,Beaver Pokémon,xx,31.5,simple,unaware,moody,2 Atk,water1,ground,xx,xx
Kricketot,401,kricketot.png,401.png,37,25,41,25,41,25,194,Bug,xx,Cricket Pokémon,xx,2.2,shed-skin,null,run-away,1 Def,bug,null,xx,xx
Kricketune,402,kricketune.png,402.png,77,85,51,55,51,65,384,Bug,xx,Cricket Pokémon,xx,25.5,swarm,null,technician,2 Atk,bug,null,xx,xx
Shinx,403,shinx.png,403.png,45,65,34,40,34,45,263,Electric,xx,Flash Pokémon,xx,9.5,rivalry,intimidate,guts,1Atk,ground,null,xx,xx
Luxio,404,luxio.png,404.png,60,85,49,60,49,60,363,Electric,xx,Spark Pokémon,xx,30.5,rivalry,intimidate,guts,2 Atk,ground,null,xx,xx
Luxray,405,luxray.png,405.png,80,120,79,95,79,70,523,Electric,xx,Gleam Eyes Pokémon,xx,42,rivalry,intimidate,guts,3 Atk,ground,null,xx,xx
Budew,406,budew.png,406.png,40,30,35,50,70,55,280,Grass,Poison,Bud Pokémon,xx,1.2,natural-cure,poison-point,leaf-guard,1 SpA,no-eggs,null,xx,xx
Roserade,407,roserade.png,407.png,60,70,65,125,105,90,515,Grass,Poison,Bouquet Pokémon,xx,14.5,natural-cure,poison-point,technician,3 SpA,fairy,plant,xx,xx
Cranidos,408,cranidos.png,408.png,67,125,40,30,30,58,350,Rock,xx,Head Butt Pokémon,xx,31.5,mold-breaker,null,sheer-force,1 Atk,monster,null,xx,xx
Rampardos,409,rampardos.png,409.png,97,165,60,65,50,58,495,Rock,xx,Head Butt Pokémon,xx,102.5,mold-breaker,null,sheer-force,2 Atk,monster,null,xx,xx
Shieldon,410,shieldon.png,410.png,30,42,118,42,88,30,350,Rock,Steel,Shield Pokémon,xx,57,sturdy,null,soundproof,1 Def,monster,null,xx,xx
Bastiodon,411,bastiodon.png,411.png,60,52,168,47,138,30,495,Rock,Steel,Shield Pokémon,xx,149.5,sturdy,null,soundproof,2 Def,monster,null,xx,xx
Burmy,412,burmy.png,412.png,40,29,45,29,45,36,224,Bug,xx,Bagworm Pokémon,xx,3.4,shed-skin,null,overcoat,1 SpD,bug,null,xx,xx
Wormadam,413,wormadam.png,413.png,60,59,85,79,105,36,424,Bug,Grass,Bagworm Pokémon,xx,6.5,anticipation,null,overcoat,2 SpD,bug,null,xx,xx
Mothim,414,mothim.png,414.png,70,94,50,94,50,66,424,Bug,Flying,Moth Pokémon,xx,23.3,swarm,null,tinted-lens,1 Atk/1 SpA,bug,null,xx,xx
Combee,415,combee.png,415.png,30,30,42,30,42,70,244,Bug,Flying,Tiny Bee Pokémon,xx,5.5,honey-gather,null,hustle,1 Spe,bug,null,xx,xx
Vespiquen,416,vespiquen.png,416.png,70,80,102,80,102,40,474,Bug,Flying,Beehive Pokémon,xx,38.5,pressure,null,unnerve,1 Def/1 SpD,bug,null,xx,xx
Pachirisu,417,pachirisu.png,417.png,60,45,70,45,90,95,405,Electric,xx,EleSquirrel Pokémon,xx,3.9,run-away,pickup,volt-absorb,1 Spe,fairy,ground,xx,xx
Buizel,418,buizel.png,418.png,55,65,35,60,30,85,330,Water,xx,Sea Weasel Pokémon,xx,29.5,swift-swim,null,water-veil,1 Spe,water1,ground,xx,xx
Floatzel,419,floatzel.png,419.png,85,105,55,85,50,115,495,Water,xx,Sea Weasel Pokémon,xx,33.5,swift-swim,null,water-veil,2 Spe,water1,ground,xx,xx
Cherubi,420,cherubi.png,420.png,45,35,45,62,53,35,275,Grass,xx,Cherry Pokémon,xx,3.3,chlorophyll,null,null,1 SpA,fairy,plant,xx,xx
Cherrim,421,cherrim.png,421.png,70,60,70,87,78,85,450,Grass,xx,Blossom Pokémon,xx,9.3,flower-gift,null,null,2 SpA,fairy,plant,xx,xx
Shellos,422,shellos.png,422.png,76,48,48,57,62,34,325,Water,xx,Sea Slug Pokémon,xx,6.3,sticky-hold,storm-drain,sand-force,1 HP,water1,indeterminate,xx,xx
